"","ACCNUM","YEAR","DATE","TIME","Hour","STREET1","STREET2","OFFSET","ROAD_CLASS","District","WardNum","Division","LATITUDE","LONGITUDE","LOCCOORD","ACCLOC","TRAFFCTL","VISIBILITY","LIGHT","RDSFCOND","IMPACTYPE","FATAL_NO","PEDESTRIAN","CYCLIST","AUTOMOBILE","MOTORCYCLE","TRUCK","TRSN_CITY_","EMERG_VEH","PASSENGER","SPEEDING","AG_DRIV","REDLIGHT","ALCOHOL","DISABILITY","Hood_ID","Neighbourh","DRIV_TRAFFIC_VIOLATION","DRIV_AGGRO","DRIV_SPEED","DRIV_DISTRACT","DRIV_AlCOHOL","BIC_TRAFFIC_VIOLATION","BIC_AGGRO","BIC_SPEED","BIC_LOSS_CTRL","BIC_ALCOHOL","BIC_DISTRACT","BIC_DRUGS","BIC_DISABILITY","BIC_FATIGUE","PED_TRAFFIC_VIOLATION","PED_STNARY","PED_CROSSING","VEH_TURNING","VEH_STATIONARY","VEH_LANE_CHG","VEH_INIT_OR_STOP","pressure_station","wind_speed","relative_humidity","temperature","visibility_value","DRIVERS_ALL_cnt","PASSENGER_cnt","PEDESTRIAN_cnt","CYCLIST_cnt","BIC_INJURY_MAJOR_FATAL","BIC_INJURY_FATAL","BIC_INJURY_other","ROAD_WET","TRAFFIC_CNTRL","VIS_NOT_CLEAR","AGE_REF_CODE","BIC_AGE","BIC_ACTN_FORWARD","BIC_ACTN_TURN_U","BIC_ACTN_TURN_LEFT","BIC_ACTN_TURN_Right","BIC_ACTN_STOPPED","BIC_ACTN_OTHER","WARD_1","WARD_2","WARD_3","WARD_4","WARD_5","WARD_6","WARD_7","WARD_8","WARD_9","WARD_10","WARD_11","WARD_12","WARD_13","WARD_14","WARD_15","WARD_16","WARD_17","WARD_18","WARD_19","WARD_20","WARD_21","WARD_22","WARD_23","WARD_24","WARD_25"
"11",1044949,2008,2008-06-25,2000,20,"136 NEAMES CRES"," "," ","Local","Etobicoke York","7","31",43.728245,-79.51259,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,1,0,0,0,0,NA,26,"Downsview-Roding-CFB (26)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99.47,28,56,23.3,24100,1,1,0,1,1,0,0,0,0,0,2,"5 to 9",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1045776,2008,2008-05-25,1200,12,"2300 LAKE SHORE BLVD W"," "," ","Major Arterial","Etobicoke York","3","22",43.618545,-79.48669,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,17,"Mimico (includes Humber Bay Shores) (17)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,99.86,19,35,21.2,24100,1,0,0,1,1,0,0,0,0,0,6,"25 to 29",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1045778,2008,2008-05-26,1400,14,"KING ST W","YORK ST"," ","Major Arterial","Toronto and East York","10","52",43.648345,-79.38179,"Mid-Block","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,1,0,0,0,0,NA,76,"Bay Street Corridor (76)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.42,26,53,25,24100,1,1,0,1,1,0,0,0,0,0,5,"20 to 24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1046603,2008,2008-06-12,900,9,"AVENUE Road","BLOOR Stre W"," ","Major Arterial","Toronto and East York","11","53,52",43.668745,-79.39409,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,95,"Annex (95)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.64,17,67,15.3,24100,1,0,0,1,1,0,0,0,1,0,5,"20 to 24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1047021,2008,2008-06-14,1300,13,"DUFFERIN Stre","SYLVAN Aven"," ","Major Arterial","Toronto and East York","9","11,14",43.655045,-79.43349,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,83,"Dufferin Grove (83)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.32,9,65,24,24100,1,0,0,1,1,0,0,0,0,0,4,"15 to 19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1047995,2008,2008-06-13,1400,14,"COLLEGE St","CRAWFORD St"," ","Major Arterial","Toronto and East York","11","14",43.655145,-79.41899,"Intersection"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,81,"Trinity-Bellwoods (81)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.59,17,60,26.8,24100,1,0,0,1,1,0,0,0,0,0,11,"50 to 54",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1048237,2008,2008-06-22,1800,18,"WESTON Road","WALSH Aven"," ","Major Arterial","Etobicoke York","7","31",43.717045,-79.53729,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,23,"Pelmo Park-Humberlea (23)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.01,0,62,21.2,24100,1,0,0,1,1,0,0,0,1,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1049415,2008,2008-06-12,900,8,"KING Stre W","BATHURST Stre"," ","Major Arterial","Toronto and East York","10","14",43.643945,-79.40269,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,77,"Waterfront Communities-The Island (77)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,100.63,11,69,15,24100,1,0,0,1,1,0,0,0,1,0,9,"40 to 44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1049419,2008,2008-06-30,1000,10,"DUNDAS ST W","LANSDOWNE AVE"," ","Minor Arterial","Toronto and East York","9","11",43.650145,-79.43929,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,83,"Dufferin Grove (83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98.68,9,72,19.8,24100,1,0,0,1,1,0,0,0,0,0,5,"20 to 24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1050893,2008,2008-07-13,1200,12,"BLOOR Stre W","KEELE Stre"," ","Major Arterial","Toronto and East York","4","11",43.654845,-79.45949,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,88,"High Park North (88)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.55,24,52,24.7,24100,1,0,0,1,1,0,0,0,0,0,12,"55 to 59",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1051130,2008,2008-07-31,2200,22,"LOWER JARVIS ST","THE ESPLANADE"," ","Major Arterial","Toronto and East York","13,10","51",43.648245,-79.37089,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,1,1,NA,77,"Waterfront Communities-The Island (77)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98.52,19,69,20.9,24100,1,0,0,1,1,0,0,0,1,0,11,"50 to 54",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"22",1051990,2008,2008-06-25,1800,18,"AVENUE RD","POPLAR PLAINS CRES"," ","Major Arterial","Toronto and East York","12","53",43.680745,-79.39909,"Intersection","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,96,"Casa Loma (96)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.53,30,46,26.1,24100,1,0,0,1,1,0,0,0,0,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1052983,2008,2008-07-18,800,8,"RIVERDALE Ave","PAPE Ave"," ","Local","Toronto and East York","14","55",43.671345,-79.34119,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,69,"Blake-Jones (69)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.47,9,73,24.7,9700,1,0,0,1,1,0,0,0,0,0,12,"55 to 59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"24",1053740,2008,2008-08-06,2200,22,"ANCONA ST","FINCH AVE W"," ","Major Arterial","North York","18","32",43.774545,-79.43879,"Intersection","At Intersection","Stop Sign","Clear","Dark","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,37,"Willowdale West (37)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.09,13,62,20.9,24100,1,0,0,1,1,0,0,0,1,0,9,"40 to 44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",1054754,2008,2008-07-31,1600,16,"THE QUEENSWAY","STEPHEN Driv"," ","Major Arterial","Etobicoke York","3","22",43.630345,-79.48429,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,16,"Stonegate-Queensway (16)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98.37,26,53,25.7,24100,1,0,0,1,1,0,0,0,1,0,5,"20 to 24",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1056442,2008,2008-08-03,1500,15,"68 NORSEMAN ST"," "," ","Collector","Etobicoke York","3","22",43.635545,-79.51369,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,16,"Stonegate-Queensway (16)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,99.4,22,48,25.1,24100,0,0,0,1,1,0,0,0,0,0,5,"20 to 24",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1056886,2008,2008-09-04,1400,14,"AVENUE RD","HEATH ST W"," ","Major Arterial","Toronto and East York","12","53",43.690043,-79.402889,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,1,0,0,1,0,0,NA,96,"Casa Loma (96)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.44,11,63,24.7,24100,1,0,0,1,1,0,0,0,0,0,8,"35 to 39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1057892,2008,2008-09-10,800,8,"TRETHEWEY DR","TEDDER ST"," ","Minor Arterial","Etobicoke York","5","12",43.697345,-79.49899,"Intersection","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",39,0,1,1,0,0,0,0,0,1,1,0,0,NA,30,"Brookhaven-Amesbury (30)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.56,0,82,9.7,24100,1,0,0,1,1,1,0,0,0,0,11,"50 to 54",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",1058466,2008,2008-08-26,700,7,"ST CLAIR AVE W","WINONA DR"," ","Major Arterial","Toronto and East York","9","13",43.680145,-79.43299,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,94,"Wychwood (94)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100.04,7,78,10.5,24100,1,0,0,1,1,0,0,0,0,0,10,"45 to 49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1059535,2008,2008-08-29,1300,13,"RUNNYMEDE RD","GLENWOOD AVE"," ","Minor Arterial","Toronto and East York","4","11",43.657145,-79.47879,"Mid-Block","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,88,"High Park North (88)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.21,7,70,23.1,19300,1,0,0,1,1,0,0,0,0,0,13,"60 to 64",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",1060768,2008,2008-09-10,2000,20,"ST CLAIR Aven E","MIDLAND Aven"," ","Minor Arterial","Scarborough","20","41",43.718745,-79.25129,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,123,"Cliffcrest (123)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,100.54,9,53,14.9,24100,1,0,0,1,1,0,0,0,1,0,12,"55 to 59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"32",1060815,2008,2008-08-23,1400,14,"MILLWOOD Rd","REDWAY Rd"," ","Major Arterial","North York","15","53",43.701845,-79.35819,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,56,"Leaside-Bennington (56)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99.92,19,62,26.2,24100,1,0,0,1,1,0,0,0,1,0,10,"45 to 49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"33",1062269,2008,2008-09-18,1600,16,"BEVERLEY St","COLLEGE St"," ","Minor Arterial","Toronto and East York","11","52",43.657945,-79.39559,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,78,"Kensington-Chinatown (78)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.73,13,63,16.5,24100,1,0,0,1,1,0,0,0,0,0,7,"30 to 34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1062512,2008,2008-09-13,1400,14,"ADELAIDE St E","POWER St"," ","Major Arterial","Toronto and East York","13","51",43.654345,-79.36229,"Mid-Block"," ","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,73,"Moss Park (73)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99.15,6,85,21.1,16100,0,0,0,1,1,0,0,0,0,0,5,"20 to 24",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"35",1064595,2008,2008-10-05,1400,14,"KIPLING Aven","BROOKMERE Road"," ","Major Arterial","Etobicoke York","1","23",43.728145,-79.57469,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,1,"West Humber-Clairville (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.47,9,60,12.8,24100,1,0,0,1,1,0,0,0,1,0,8,"35 to 39",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",1068411,2008,2008-10-16,1700,17,"YONGE ST","CHURCHILL AVE"," ","Major Arterial","North York","18","32",43.774145,-79.41409,"Mid-Block","At Intersection","No Control","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,51,"Willowdale East (51)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99.87,26,52,12.3,24100,1,0,0,1,1,0,0,0,0,0,7,"30 to 34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"37",1069132,2008,2008-10-18,1500,15,"STEELES AVE E","FENTON RD"," ","Major Arterial","Scarborough","23","42",43.827245,-79.29169,"Intersection","At Intersection","Traffic Signal","Clear","Daylight","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,1,0,0,NA,130,"Milliken (130)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100.58,13,48,11.3,24100,1,0,0,1,1,0,0,0,1,0,14,"65 to 69",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"38",1069547,2008,2008-10-22,1900,19,"COXWELL AVE","COSBURN AVE"," ","Minor Arterial","Toronto and East York","19,14","54",43.694145,-79.32799,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,58,"Old East York (58)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,101.38,11,60,4.3,24100,1,0,0,1,1,0,0,0,1,0,6,"25 to 29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0
"39",1069861,2008,2008-11-14,200,2,"DOVERCOURT RD","ARGYLE ST"," ","Collector","Toronto and East York","10,9","14",43.646145,-79.42349,"Intersection"," ","No Control","Clear","Dark","Dry","Cyclist Collisions",0,0,1,1,0,0,0,0,0,0,0,0,0,NA,84,"Little Portugal (84)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,98.67,11,88,9.4,19300,1,0,0,1,1,0,0,0,0,0,8,"35 to 39",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
