"","Index_","ACCNUM","YEAR","DATE","TIME","Hour","STREET1","STREET2","OFFSET","ROAD_CLASS","District","WardNum","Division","LATITUDE","LONGITUDE","LOCCOORD","ACCLOC","TRAFFCTL","VISIBILITY","LIGHT","RDSFCOND","ACCLASS","IMPACTYPE","INVTYPE","INVAGE","INJURY","FATAL_NO","INITDIR","VEHTYPE","MANOEUVER","DRIVACT","DRIVCOND","PEDTYPE","PEDACT","PEDCOND","CYCLISTYPE","CYCACT","CYCCOND","PEDESTRIAN","CYCLIST","AUTOMOBILE","MOTORCYCLE","TRUCK","TRSN_CITY_","EMERG_VEH","PASSENGER","SPEEDING","AG_DRIV","REDLIGHT","ALCOHOL","Hood_ID","Neighbourh","ObjectId","isFATAL","pressure_station","wind_speed","relative_humidity","temperature","visibility_value"
"11",80497074,5000976277,2015,2015-06-11,0,0,"FINCH AVE W","TOBERMORY DR"," ","Major Arterial","Etobicoke York","7","31",43.759272,-79.507922,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Fatal","Cyclist Collisions","Driver","20 to 24","None",0,"West","Automobile, Station Wagon","Going Ahead","Exceeding Speed Limit","Ability Impaired, Alcohol"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,1,1,0,1,25,"Glenfield-Jane Heights (25)",11,1,98.71,16,70,16.5,24100
"12",80497075,5000976277,2015,2015-06-11,0,0,"FINCH AVE W","TOBERMORY DR"," ","Major Arterial","Etobicoke York","7","31",43.759272,-79.507922,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Fatal","Cyclist Collisions","Cyclist","40 to 44","Fatal",28,"West","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.","Driving Properly","Unknown",0,1,1,0,0,0,0,0,1,1,0,1,25,"Glenfield-Jane Heights (25)",12,1,98.71,16,70,16.5,24100
"13",80564319,6001211373,2016,2016-07-11,0,0,"429 DUNDAS ST E"," ","15 m North of","Major Arterial","Toronto and East York","13","51",43.659266,-79.366695,"Intersection","Intersection Related","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","25 to 29","Major",0,"East","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.","Other","Had Been Drinking",0,1,1,0,0,0,0,1,0,0,0,0,73,"Moss Park (73)",13,0,99.69,5,52,20.8,24100
"14",80564320,6001211373,2016,2016-07-11,0,0,"429 DUNDAS ST E"," ","15 m North of","Major Arterial","Toronto and East York","13","51",43.659266,-79.366695,"Intersection","Intersection Related","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","20 to 24","None",0,"East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,1,0,0,0,0,73,"Moss Park (73)",14,0,99.69,5,52,20.8,24100
"15",80564321,6001211373,2016,2016-07-11,0,0,"429 DUNDAS ST E"," ","15 m North of","Major Arterial","Toronto and East York","13","51",43.659266,-79.366695,"Intersection","Intersection Related","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Passenger","20 to 24","None",0," "," "," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,1,0,0,0,0,73,"Moss Park (73)",15,0,99.69,5,52,20.8,24100
"16",80564322,6001211373,2016,2016-07-11,0,0,"429 DUNDAS ST E"," ","15 m North of","Major Arterial","Toronto and East York","13","51",43.659266,-79.366695,"Intersection","Intersection Related","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Passenger","25 to 29","None",0," "," "," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,1,0,0,0,0,73,"Moss Park (73)",16,0,99.69,5,52,20.8,24100
"17",80564323,6001211373,2016,2016-07-11,0,0,"429 DUNDAS ST E"," ","15 m North of","Major Arterial","Toronto and East York","13","51",43.659266,-79.366695,"Intersection","Intersection Related","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Passenger","20 to 24","Major",0," "," "," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,1,0,0,0,0,73,"Moss Park (73)",17,0,99.69,5,52,20.8,24100
"18",80632469,6000874773,2016,2016-05-15,0,0,"DUNDAS ST W","OSSINGTON AVE","40 m East of","Major Arterial","Toronto and East York","10,11","14",43.649394,-79.420032,"Mid-Block","Non Intersection","No Control","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","unknown","None",0,"West","Automobile, Station Wagon","Making U Turn","Improper Turn","Inattentive"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,81,"Trinity-Bellwoods (81)",18,0,98.85,39,59,3.8,24100
"19",80632470,6000874773,2016,2016-05-15,0,0,"DUNDAS ST W","OSSINGTON AVE","40 m East of","Major Arterial","Toronto and East York","10,11","14",43.649394,-79.420032,"Mid-Block","Non Intersection","No Control","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","20 to 24","Major",0,"East","Bicycle","Going Ahead"," "," "," "," "," ","Motorist makes u-turn in-front of cyclist.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,81,"Trinity-Bellwoods (81)",19,0,98.85,39,59,3.8,24100
"20",80198361,3001015663,2013,2013-11-22,0,0,"HOSKIN AVE","ST GEORGE ST"," ","Minor Arterial","Toronto and East York","11","52",43.664099,-79.398433,"Intersection","Intersection Related","Traffic Signal","Rain","Dark, artificial","Wet","Non-Fatal Injury","Cyclist Collisions","Cyclist","20 to 24","Major",0,"South","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Unknown",0,1,1,0,0,0,0,0,0,0,0,0,79,"University (79)",20,0,100.24,10,97,4.8,4000
"21",80198362,3001015663,2013,2013-11-22,0,0,"HOSKIN AVE","ST GEORGE ST"," ","Minor Arterial","Toronto and East York","11","52",43.664099,-79.398433,"Intersection","Intersection Related","Traffic Signal","Rain","Dark, artificial","Wet","Non-Fatal Injury","Cyclist Collisions","Driver","20 to 24","None",0,"East","Automobile, Station Wagon","Going Ahead","Driving Properly","Unknown"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,79,"University (79)",21,0,100.24,10,97,4.8,4000
"22",81073531,8001708273,2018,2018-09-15,0,0,"DUFFERIN ST","LAPPIN AV","8 m East of","Major Arterial","Toronto and East York","9","11,14",43.666419,-79.438152,"Mid-Block","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","45 to 49","None",0,"North","Automobile, Station Wagon","Making U Turn","Improper Lane Change","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,93,"Dovercourt-Wallace Emerson-Junction (93)",22,0,100.05,7,84,21.6,24100
"23",81073532,8001708273,2018,2018-09-15,0,0,"DUFFERIN ST","LAPPIN AV","8 m East of","Major Arterial","Toronto and East York","9","11,14",43.666419,-79.438152,"Mid-Block","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","45 to 49","Major",0,"North","Bicycle","Going Ahead"," "," "," "," "," "," ","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,93,"Dovercourt-Wallace Emerson-Junction (93)",23,0,100.05,7,84,21.6,24100
"24",81073533,8001708273,2018,2018-09-15,0,0,"DUFFERIN ST","LAPPIN AV","8 m East of","Major Arterial","Toronto and East York","9","11,14",43.666419,-79.438152,"Mid-Block","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","30 to 34","Minor",0,"North","Bicycle","Going Ahead"," "," "," "," "," "," ","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,93,"Dovercourt-Wallace Emerson-Junction (93)",24,0,100.05,7,84,21.6,24100
"25",80251560,5001667907,2015,2015-09-27,100,0,"KEELE ST","ANNETTE ST","9 m South of","Major Arterial","Toronto and East York","4","11",43.663642,-79.463794,"Intersection","Intersection Related","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","25 to 29","Major",0,"South","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Normal",0,1,0,0,0,1,0,0,0,0,0,0,90,"Junction Area (90)",25,0,100.72,5,90,15.6,24100
"26",80251561,5001667907,2015,2015-09-27,100,0,"KEELE ST","ANNETTE ST","9 m South of","Major Arterial","Toronto and East York","4","11",43.663642,-79.463794,"Intersection","Intersection Related","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","35 to 39","None",0,"South","Municipal Transit Bus (TTC)","Turning Right","Driving Properly","Normal"," "," "," "," "," "," ",0,1,0,0,0,1,0,0,0,0,0,0,90,"Junction Area (90)",26,0,100.72,5,90,15.6,24100
"27",80942711,8000879667,2018,2018-05-16,100,0,"QUEEN ST E","JARVIS  ST"," ","Major Arterial","Toronto and East York","13","51",43.653655,-79.373218,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","55 to 59","None",0,"East","Intercity Bus","Turning Right","Driving Properly","Normal"," "," "," "," "," "," ",0,1,0,0,0,1,0,0,0,0,0,0,73,"Moss Park (73)",27,0,99.68,13,56,11.7,24100
"28",80942712,8000879667,2018,2018-05-16,100,0,"QUEEN ST E","JARVIS  ST"," ","Major Arterial","Toronto and East York","13","51",43.653655,-79.373218,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","30 to 34","Major",0,"West","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Unknown",0,1,0,0,0,1,0,0,0,0,0,0,73,"Moss Park (73)",28,0,99.68,13,56,11.7,24100
"29",7528633,1321287,2012,2012-09-16,100,1,"DAVENPORT Rd","MOUNT ROYAL Ave"," ","Minor Arterial","Toronto and East York","9","13",43.674545,-79.43259,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Moped Driver","60 to 64","Major",0,"East","Moped","Going Ahead","Following too Close","Had Been Drinking"," "," "," "," "," "," ",0,1,0,0,0,0,0,0,0,1,0,0,94,"Wychwood (94)",29,0,100.07,11,83,10,24100
"30",7528634,1321287,2012,2012-09-16,100,1,"DAVENPORT Rd","MOUNT ROYAL Ave"," ","Minor Arterial","Toronto and East York","9","13",43.674545,-79.43259,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","30 to 34","Minor",0,"East","Bicycle","Turning Left"," "," "," "," "," ","Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.","Driving Properly","Had Been Drinking",0,1,0,0,0,0,0,0,0,1,0,0,94,"Wychwood (94)",30,0,100.07,11,83,10,24100
"31",80782764,7001656927,2017,2017-09-13,100,1,"BLOOR ST W","BRUNSWICK AVE"," ","Major Arterial","Toronto and East York","11","14",43.665908,-79.407436,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","20 to 24","Major",0,"West","Bicycle","Making U Turn"," "," "," "," "," ","Cyclist makes u-turn in-front of driver.","Improper Turn","Had Been Drinking",0,1,0,1,0,0,0,0,0,0,0,0,79,"University (79)",31,0,99.18,12,74,16.2,24100
"32",80782765,7001656927,2017,2017-09-13,100,1,"BLOOR ST W","BRUNSWICK AVE"," ","Major Arterial","Toronto and East York","11","14",43.665908,-79.407436,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Motorcycle Driver","20 to 24","None",0,"East","Motorcycle","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,0,1,0,0,0,0,0,0,0,0,79,"University (79)",32,0,99.18,12,74,16.2,24100
"33",7393652,1285114,2012,2012-03-20,100,1,"KING Stre W","PETER Stre"," ","Major Arterial","Toronto and East York","10","52",43.646045,-79.39229,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Vehicle Owner","unknown"," ",0," ","Other"," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,77,"Waterfront Communities-The Island (77)",33,0,100.04,6,94,12.2,16100
"34",7393653,1285114,2012,2012-03-20,100,1,"KING Stre W","PETER Stre"," ","Major Arterial","Toronto and East York","10","52",43.646045,-79.39229,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","55 to 59","None",0,"East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,77,"Waterfront Communities-The Island (77)",34,0,100.04,6,94,12.2,16100
"35",7393654,1285114,2012,2012-03-20,100,1,"KING Stre W","PETER Stre"," ","Major Arterial","Toronto and East York","10","52",43.646045,-79.39229,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","20 to 24","Major",0,"South","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Inattentive",0,1,1,0,0,0,0,0,0,0,0,0,77,"Waterfront Communities-The Island (77)",35,0,100.04,6,94,12.2,16100
"36",7474950,1319584,2012,2012-09-02,100,1,"COLLEGE ST","LIPPINCOTT ST"," ","Major Arterial","Toronto and East York","11","14",43.656649,-79.406482,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Vehicle Owner","unknown"," ",0," "," "," "," "," "," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,78,"Kensington-Chinatown (78)",36,0,99.84,13,72,18.9,24100
"37",7474951,1319584,2012,2012-09-02,100,1,"COLLEGE ST","LIPPINCOTT ST"," ","Major Arterial","Toronto and East York","11","14",43.656649,-79.406482,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","55 to 59","None",0,"West","Automobile, Station Wagon","Making U Turn","Improper Turn","Inattentive"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,78,"Kensington-Chinatown (78)",37,0,99.84,13,72,18.9,24100
"38",7474952,1319584,2012,2012-09-02,100,1,"COLLEGE ST","LIPPINCOTT ST"," ","Major Arterial","Toronto and East York","11","14",43.656649,-79.406482,"Intersection","At Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","20 to 24","Major",0,"West","Bicycle","Overtaking"," "," "," "," "," ","Motorist makes u-turn in-front of cyclist.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,78,"Kensington-Chinatown (78)",38,0,99.84,13,72,18.9,24100
"39",80631878,4002803863,2014,2014-08-30,100,1,"QUEEN ST W","DUFFERIN ST","50 m East of","Major Arterial","Toronto and East York","10,9","14",43.642298,-79.427852,"Mid-Block","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","25 to 29","Major",0,"East"," ","Going Ahead"," "," "," "," "," ","Insufficient information (to determine cyclist crash type).","Other","Had Been Drinking",0,1,0,0,0,1,0,0,0,0,0,0,84,"Little Portugal (84)",39,0,99.83,10,83,18.3,24100
"40",80631879,4002803863,2014,2014-08-30,100,1,"QUEEN ST W","DUFFERIN ST","50 m East of","Major Arterial","Toronto and East York","10,9","14",43.642298,-79.427852,"Mid-Block","Non Intersection","No Control","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","35 to 39","None",0,"West","Street Car","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,0,0,0,1,0,0,0,0,0,0,84,"Little Portugal (84)",40,0,99.83,10,83,18.3,24100
"41",80171679,4002750756,2014,2014-08-22,100,1,"BLOOR ST E","PARLIAMENT ST"," ","Major Arterial","Toronto and East York","13","51,53",43.671954,-79.370693,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","25 to 29","Major",0,"East","Bicycle","Going Ahead"," "," "," "," "," ","Motorist turned left across cyclists path.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,1,0,0,71,"Cabbagetown-South St.James Town (71)",41,0,99.49,16,90,18.5,24100
"42",80171680,4002750756,2014,2014-08-22,100,1,"BLOOR ST E","PARLIAMENT ST"," ","Major Arterial","Toronto and East York","13","51,53",43.671954,-79.370693,"Intersection","At Intersection","Traffic Signal","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","40 to 44","None",0,"West","Automobile, Station Wagon","Turning Left","Failed to Yield Right of Way","Inattentive"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,1,0,0,71,"Cabbagetown-South St.James Town (71)",42,0,99.49,16,90,18.5,24100
"43",7645161,1301986,2012,2012-06-28,200,1,"UNIVERSITY AVE","ELM ST"," ","Major Arterial","Toronto and East York","11","52",43.656345,-79.38899,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","40 to 44","None",0,"West","Automobile, Station Wagon","Turning Left","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,78,"Kensington-Chinatown (78)",43,0,99,4,69,19.6,24100
"44",7645162,1301986,2012,2012-06-28,200,1,"UNIVERSITY AVE","ELM ST"," ","Major Arterial","Toronto and East York","11","52",43.656345,-79.38899,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","50 to 54","Major",0,"East","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Other","Unknown",0,1,1,0,0,0,0,0,0,0,0,0,78,"Kensington-Chinatown (78)",44,0,99,4,69,19.6,24100
"45",80242116,5001034900,2015,2015-06-20,200,1,"CARLTON ST","HOMEWOOD AVE"," ","Minor Arterial","Toronto and East York","13","51",43.662905,-79.374339,"Intersection","At Intersection","Stop Sign","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","40 to 44","Major",0,"South","Bicycle","Going Ahead"," "," "," "," "," ","Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.","Disobeyed Traffic Control","Had Been Drinking",0,1,1,0,0,0,0,0,0,0,0,0,73,"Moss Park (73)",45,0,99.73,8,62,14.7,24100
"46",80242117,5001034900,2015,2015-06-20,200,1,"CARLTON ST","HOMEWOOD AVE"," ","Minor Arterial","Toronto and East York","13","51",43.662905,-79.374339,"Intersection","At Intersection","Stop Sign","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","40 to 44","None",0,"East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,73,"Moss Park (73)",46,0,99.73,8,62,14.7,24100
"47",7841611,1366140,2013,2013-06-27,200,2,"DAVENPORT Rd","CHRISTIE St"," ","Minor Arterial","Toronto and East York","12","13",43.675545,-79.42309,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","unknown","None",0,"West","Automobile, Station Wagon","Going Ahead","Disobeyed Traffic Control","Unknown"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,1,1,0,94,"Wychwood (94)",47,0,98.79,4,62,22.5,24100
"48",7841612,1366140,2013,2013-06-27,200,2,"DAVENPORT Rd","CHRISTIE St"," ","Minor Arterial","Toronto and East York","12","13",43.675545,-79.42309,"Intersection","At Intersection","Traffic Signal","Clear","Dark, artificial","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","50 to 54","Major",0,"North","Bicycle","Going Ahead"," "," "," "," "," ","Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,1,1,0,94,"Wychwood (94)",48,0,98.79,4,62,22.5,24100
"49",5373509,1044518,2008,2008-06-15,200,2,"DUNDAS ST W","RONCESVALLES AVE"," ","Minor Arterial","Toronto and East York","4","11",43.653645,-79.45139,"Mid-Block"," ","No Control","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Driver","unknown","None",0,"West","Automobile, Station Wagon","Going Ahead","Lost control","Normal"," "," "," "," "," "," ",0,1,1,0,0,0,0,0,0,0,0,0,86,"Roncesvalles (86)",49,0,99.22,0,65,18.6,24100
"50",5373510,1044518,2008,2008-06-15,200,2,"DUNDAS ST W","RONCESVALLES AVE"," ","Minor Arterial","Toronto and East York","4","11",43.653645,-79.45139,"Mid-Block"," ","No Control","Clear","Dark","Dry","Non-Fatal Injury","Cyclist Collisions","Cyclist","35 to 39","Major",0,"West","Bicycle","Going Ahead"," "," "," "," "," ","Motorist loses control and strikes cyclist.","Driving Properly","Normal",0,1,1,0,0,0,0,0,0,0,0,0,86,"Roncesvalles (86)",50,0,99.22,0,65,18.6,24100
